F4K410-1	locus:2173169	AT5G13650
F4K4E3	locus:2180295	AT5G27720
F4K5J1-1	locus:2149932	AT5G20490
F4K5T2	locus:2143754	AT5G28030
F4K5T2	locus:2143754	AT5G28030
F4K5T2	locus:2143754	AT5G28030
F4K5T2	locus:2143754	AT5G28030
F4K5X6	locus:2169135	AT5G37260
F4K6B6	locus:2161815	AT5G56030
F4K6B8-2	locus:2161825	AT5G56040
F4K6B8-1	locus:2161825	AT5G56040
F4K7C5	locus:2149529	AT5G43900
F4K7D6	locus:2172452	AT5G43940
F4K933	locus:2165026	AT5G56780
F4KAB8	locus:504954997	AT5G44635
F4KAK5	locus:2175574	AT5G57190
F4KAN2	locus:2172994	AT5G57360
F4KB17	locus:2150788	AT5G08390
F4KBF5	locus:2178297	AT5G23070
F4KBP5	locus:2156364	AT5G44800
F4KCC2	locus:2180147	AT5G02310
F4KCC2	locus:2180147	AT5G02310
F4KCE9	locus:2181748	AT5G02520
F4KCH3	locus:4010713949	AT5G08760
F4KDA5	locus:2153067	AT5G51540
F4KDF5	locus:2174363	AT5G57880
F4KDH9	locus:2155806	AT5G58040
F4KDN0-1	locus:2173378	AT5G64390
F4KEV7-1	locus:2161313	AT5G58240
F4KEV7-2	locus:2161313	AT5G58240
F4KF14	locus:2174819	AT5G64580
F4KFS7-1	locus:2169804	AT5G24290
F4KFS7-2	locus:2169804	AT5G24290
F4KFT7-1	locus:2145816	AT5G32470
F4KGM7	locus:2142699	AT5G03540
F4KGN5	locus:2142649	AT5G03570
F4KGN5	locus:2142649	AT5G03570
F4KGQ0-1	locus:2144563	AT5G03690
F4KGQ0-2	locus:2144563	AT5G03690
F4KGW0	locus:2142429	AT5G10480
F4KGW7	locus:2142534	AT5G10510
F4KH86	locus:2176816	AT5G24670
F4KH86	locus:2176816	AT5G24670
F4KH86	locus:2176816	AT5G24670
F4KHI3	locus:2151476	AT5G46520
F4KHQ8-1	locus:2154598	AT5G58980
F4KIX0	locus:2170982	AT5G46910
F8S296	locus:2094063	AT3G19190
F8S296	locus:2094063	AT3G19190
H3K2Y6	locus:2126056	AT4G00450
H3K2Y6	locus:2126056	AT4G00450
H3K2Y6	locus:2126056	AT4G00450
O03042	locus:504954672	ATCG00490
O03986	locus:2161775	AT5G56000
O04017	locus:2154684	AT5G53950
